authorName,bookFormat,bookId,description,numberOfPages,numberOfRatings,numberOfReviews,publishedBy,publishedDate,rating,title
Foster Provost,Paperback,17912916,"Written by renowned data science experts Foster Provost and Tom Fawcett, Data Science for Business introduces the fundamental principles of data science, and walks you through the ""data-analytic thinking"" necessary for extracting useful knowledge and business value from the data you collect. This guide also helps you understand the many data-mining techniques in use today. Based on an MBA course Provost has taught at New York University over the past ten years, Data Science for Business provides examples of real-world business problems to illustrate these principles. You’ll not only learn how to improve communication between business stakeholders and data scientists, but also how participate intelligently in your company’s data science projects. You’ll also discover how to think data-analytically, and fully appreciate how data science methods can support business decision-making.",413.0,2403,160,O'Reilly Media,"September 17, 2013",4.13,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
Roger D. Peng,ebook,26299386,"This book describes, simply and in general terms, the process of analyzing data. The authors have extensive experience both managing data analysts and conducting their own data analyses, and have carefully observed what produces coherent results and what fails to produce useful insights into data. This book is a distillation of their experience in a format that is applicable to both practitioners and managers in data science.",154.0,274,39,Leanpub,"September 5, 2015",3.74,The Art of Data Science: A Guide for Anyone Who Works with Data
John D. Kelleher,Paperback,36722689,"<b>A concise introduction to the emerging field of data science, explaining its evolution, relation to machine learning, current uses, data infrastructure issues, and ethical challenges.</b><br /><br />The goal of data science is to improve decision making through the analysis of data. Today data science determines the ads we see online, the books and movies that are recommended to us online, which emails are filtered into our spam folders, and even how much we pay for health insurance. This volume in the <em>MIT Press Essential Knowledge</em> series offers a concise introduction to the emerging field of data science, explaining its evolution, current uses, data infrastructure issues, and ethical challenges.<br /><br />It has never been easier for organizations to gather, store, and process data. Use of data science is driven by the rise of big data and social media, the development of high-performance computing, and the emergence of such powerful methods for data analysis and modeling as deep learning. Data science encompasses a set of principles, problem definitions, algorithms, and processes for extracting non-obvious and useful patterns from large datasets. It is closely related to the fields of data mining and machine learning, but broader in scope. This book offers a brief history of the field, introduces fundamental data concepts, and describes the stages in a data science project. It considers data infrastructure and the challenges posed by integrating data from multiple sources, introduces the basics of machine learning, and discusses how to link machine learning expertise with real-world problems. The book also reviews ethical and legal issues, developments in data regulation, and computational approaches to preserving privacy. Finally, it considers the future impact of data science and offers principles for success in data science projects.",280.0,752,89,The MIT Press,"April 13, 2018",3.91,Data Science
Oliver Theobald,Kindle Edition,35518108,"<b> To buy the newest edition of this book (2021), please search ""Machine Learning Absolute Beginners Third Edition"" on Amazon. The product page you are currently viewing is for the 2nd Edition (2017) of this book.</b><b>Featured by Tableau as the first of ""7 Books About Machine Learning for Beginners.""</b><b>Ready to spin up a virtual GPU instance and smash through petabytes of data? Want to add 'Machine Learning' to your LinkedIn profile?</b>Well, hold on there...Before you embark on your epic journey, there are some high-level theory and statistical principles to weave through first.But rather than spend $30-$50 USD on a dense long textbook, you may want to read this book first. As a clear and concise alternative to a textbook, this book provides a practical and high-level introduction to machine learning.Machine Learning for Absolute Beginners Second Edition has been written and designed for <b>absolute beginners</b>. This means plain English explanations and no coding experience required. Where core algorithms are introduced, <b>clear explanations</b> and <b>visual examples</b> are added to make it easy and engaging to follow along at home.<b>New Updated Edition</b>This major <b>new edition</b> features many topics not covered in the First Edition, including Cross Validation, Ensemble Modeling, Grid Search, Feature Engineering, and One-hot Encoding. <b>Please note that this book is not a sequel to the First Edition but rather a restructured and revamped version of the First Edition.</b> Readers of the First Edition should not feel compelled to purchase this Second Edition.<b></b> If you have passed the 'beginner' stage in your study of machine learning and are ready to tackle coding and deep learning, you would be well served with a long-format textbook. If, however, you are yet to reach that <b>Lion King moment</b> - as a fully grown Simba looking over the Pride Lands of Africa - then this is the book to gently hoist you up and offer you a clear lay of the land.<br /><br /><b>In This Step-By-Step Guide You Will </b>• How to <b>download free datasets</b>• <b>Data scrubbing</b> techniques, including <b>one-hot encoding</b>, <b>binning</b> and dealing with <b>missing data</b>• Preparing data for analysis, including <b>k-fold Validation</b>• <b>Regression analysis</b> to create trend lines• <b>Clustering</b>, including <b>k-means</b> clustering, to find new relationships• The basics of <b>Neural Networks</b>• <b>Bias/Variance</b> to improve your machine learning model• <b>Decision Trees</b> to decode classification• How to build your first <b>Machine Learning Model</b> to predict house values using Python<br /><br /><b>Frequently Asked Questions</b><b> Do I need programming experience to complete this e-book?</b> This e-book is designed for absolute beginners, so no programming experience is required. However, two of the later chapters introduce Python to demonstrate an actual machine learning model, so you will see programming language used in this book.",168.0,394,18,Scatterplot Press,"June 21, 2017",4.13,Machine Learning For Absolute Beginners: A Plain English Introduction (Second Edition)
Annalyn Ng,Kindle Edition,34213247,"---------------<br /><b>Reference text for data science in top universities like Stanford and Cambridge. Sold in over 85 countries and translated into more than 5 languages.</b><br />---------------<br /><br />Want to get started on data science?<br />Our promise: no math added.<br /><br />This book has been written in layman's terms as a gentle introduction to data science and its algorithms. Each algorithm has its own dedicated chapter that explains how it works, and shows an example of a real-world application. To help you grasp key concepts, we stick to intuitive explanations and visuals.<br /><br />Popular concepts covered include:<br /><br />- A/B Testing<br />- Anomaly Detection<br />- Association Rules<br />- Clustering<br />- Decision Trees and Random Forests<br />- Regression Analysis<br />- Social Network Analysis<br />- Neural Networks<br /><br />Features:<br /><br />- Intuitive explanations and visuals<br />- Real-world applications to illustrate each algorithm<br />- Point summaries at the end of each chapter<br />- Reference sheets comparing the pros and cons of algorithms<br />- Glossary list of commonly-used terms<br /><br />With this book, we hope to give you a practical understanding of data science, so that you, too, can leverage its strengths in making better decisions.",147.0,574,78,,"February 3, 2017",4.15,Numsense! Data Science for the Layman: No Math Added
Cathy O'Neil,Paperback,17346997,"Now that people are aware that data can make the difference in an election or a business model, data science as an occupation is gaining ground. But how can you get started working in a wide-ranging, interdisciplinary field that’s so clouded in hype? This insightful book, based on Columbia University’s Introduction to Data Science class, tells you what you need to know.<br /><br />In many of these chapter-long lectures, data scientists from companies such as Google, Microsoft, and eBay share new algorithms, methods, and models by presenting case studies and the code they use. If you’re familiar with linear algebra, probability, and statistics, and have programming experience, this book is an ideal introduction to data science.<br /><br />Topics include:<br /><br /><br />Statistical inference, exploratory data analysis, and the data science process<br />Algorithms<br />Spam filters, Naive Bayes, and data wrangling<br />Logistic regression<br />Financial modeling<br />Recommendation engines and causality<br />Data visualization<br />Social networks and data journalism<br />Data engineering, MapReduce, Pregel, and Hadoop<br /><br /><i>Doing Data Science</i> is collaboration between course instructor Rachel Schutt, Senior VP of Data Science at News Corp, and data science consultant Cathy O’Neil, a senior data scientist at Johnson Research Labs, who attended and blogged about the course.",405.0,564,52,O'Reilly Media,"December 3, 2013",3.73,Doing Data Science: Straight Talk from the Frontline
Jake Vanderplas,Paperback,26457146,"For many researchers, Python is a first-class tool mainly because of its libraries for storing, manipulating, and gaining insight from data. Several resources exist for individual pieces of this data science stack, but only with the Python Data Science Handbook do you get them all—IPython, NumPy, Pandas, Matplotlib, Scikit-Learn, and other related tools. Working scientists and data crunchers familiar with reading and writing Python code will find this comprehensive desk reference ideal for tackling day-to-day manipulating, transforming, and cleaning data; visualizing different types of data; and using data to build statistical or machine learning models. Quite simply, this is the must-have reference for scientific computing in Python. With this handbook, you’ll learn how to ",546.0,593,56,O'Reilly Media,"January 3, 2017",4.31,Python Data Science Handbook: Essential Tools for Working with Data
John W. Foreman,Paperback,17682206,"Data Science gets thrown around in the press like it's magic. Major retailers are predicting everything from when their customers are pregnant to when they want a new pair of Chuck Taylors. It's a brave new world where seemingly meaningless data can be transformed into valuable insight to drive smart business decisions.<br /><br />But how does one exactly do data science? Do you have to hire one of these priests of the dark arts, the ""data scientist,"" to extract this gold from your data? Nope.<br /><br />Data science is little more than using straight-forward steps to process raw data into actionable insight. And in Data Smart, author and data scientist John Foreman will show you how that's done within the familiar environment of a spreadsheet. <br /><br />Why a spreadsheet? It's comfortable! You get to look at the data every step of the way, building confidence as you learn the tricks of the trade. Plus, spreadsheets are a vendor-neutral place to learn data science without the hype. <br /><br />But don't let the Excel sheets fool you. This is a book for those serious about learning the analytic techniques, the math and the magic, behind big data.<br /><br />Each chapter will cover a different technique in a spreadsheet so you can follow along:<br /><br /> - Mathematical optimization, including non-linear programming and genetic algorithms<br />- Clustering via k-means, spherical k-means, and graph modularity<br />- Data mining in graphs, such as outlier detection<br />- Supervised AI through logistic regression, ensemble models, and bag-of-words models<br />- Forecasting, seasonal adjustments, and prediction intervals through monte carlo simulation<br />- Moving from spreadsheets into the R programming language<br /><br />You get your hands dirty as you work alongside John through each technique. But never fear, the topics are readily applicable and the author laces humor throughout. You'll even learn what a dead squirrel has to do with optimization modeling, which you no doubt are dying to know.<br /><br />",409.0,994,56,John Wiley & Sons,"October 31, 2013",4.12,Data Smart: Using Data Science to Transform Information into Insight
Joel Grus,Kindle Edition,25407018,"<div>
  <p>Data science libraries, frameworks, modules, and toolkits are great for doing data science, but they’re also a good way to dive into the discipline without actually understanding data science. In this book, you’ll learn how many of the most fundamental data science tools and algorithms work by implementing them <i>from scratch</i>.</p>
  <p>If you have an aptitude for mathematics and some programming skills, author Joel Grus will help you get comfortable with the math and statistics at the core of data science, and with hacking skills you need to get started as a data scientist. Today’s messy glut of data holds answers to questions no one’s even thought to ask. This book provides you with the know-how to dig those answers out.</p>
   
     Get a crash course in Python 
     Learn the basics of linear algebra, statistics, and probability—and understand how and when they're used in data science 
     Collect, explore, clean, munge, and manipulate data 
     Dive into the fundamentals of machine learning 
     Implement models such as k-nearest Neighbors, Naive Bayes, linear and logistic regression, decision trees, neural networks, and clustering 
     Explore recommender systems, natural language processing, network analysis, MapReduce, and databases 
   
</div>",330.0,1041,77,O'Reilly Media,"April 14, 2015",3.91,Data Science from Scratch: First Principles with Python
Foster Provost,Paperback,17912916,"Written by renowned data science experts Foster Provost and Tom Fawcett, Data Science for Business introduces the fundamental principles of data science, and walks you through the ""data-analytic thinking"" necessary for extracting useful knowledge and business value from the data you collect. This guide also helps you understand the many data-mining techniques in use today. Based on an MBA course Provost has taught at New York University over the past ten years, Data Science for Business provides examples of real-world business problems to illustrate these principles. You’ll not only learn how to improve communication between business stakeholders and data scientists, but also how participate intelligently in your company’s data science projects. You’ll also discover how to think data-analytically, and fully appreciate how data science methods can support business decision-making.",413.0,2403,160,O'Reilly Media,"September 17, 2013",4.13,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
Matt Taddy,Hardcover,42167523,"Publisher's Products purchased from Third Party sellers are not guaranteed by the publisher for quality, authenticity, or access to any online entitlements included with the product.<br />Use machine learning to understand your customers, frame decisions, and drive value   Spreadsheet models and pivot tables were once the cutting-edge tools of business analysis. But the Big Data revolution has changed everything. Tasks that once required armies of business analysts are being automated and scaled with software, allowing decision makers to go deep into the data to understand how their business is running and what their customers want. This has led to a new superstar job the Business Data Scientist who is able to combine science and engineering tools with business and economic context to build data analyses that drive better decisions.<br />Matt Taddy, developer of the Big Data curriculum at the University of Chicago Booth School of Business, has made a career of training students to use economic principles to connect business decisions to massive data. Business Data Science is an essential primer for those who want to use cutting-edge machine learning to have a real impact on the direction of their business.<br />With Business Data Science, readers will With Business Data Science you have everything you need to connect business problems to data and drive decisions with data analysis. You'll understand your customers better, make more informed business decisions, achieve maximum value--and thrive in today's data-driven economy.",352.0,49,7,McGraw Hill,"August 21, 2019",4.16,"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions"
Emily  Robinson,Hardcover,52661559,"Build a Career in Data Science is your guide to getting your first data science job, then quickly becoming a senior employee. Industry experts Jacqueline Nolis and Emily Robinson lay out the soft skills you’ll need alongside your technical know-how in order to succeed in the field. Following their clear and simple instructions you’ll craft a resume that hiring managers will love, learn how to ace your interview, and ensure you hit the ground running in your first months at your new job. Once you’ve gotten your foot in the door, learn to thrive as a data scientist by handling high expectations, dealing with stakeholders, and managing failures. Finally, you’ll look towards the future and learn about how to join the broader data science community, leaving a job gracefully, and plotting your career path. With this book by your side you’ll have everything you need to ensure a rewarding and productive role in data science.",250.0,155,19,MEAP,"January 1, 2020",4.43,Build a Career in Data Science
Mike Loukides,Kindle Edition,41543548,"As the impact of data science continues to grow on society there is an increased need to discuss how data is appropriately used and how to address misuse. Yet, ethical principles for working with data have been available for decades. The real issue today is how to put those principles into action. With this report, authors examine practical ways for making ethical data standards part of your work every day.",46.0,147,18,O'Reilly Media,"July 25, 2018",4.2,Ethics and Data Science
Samuel Hack,Kindle Edition,53454530,"Master the World of Machine Learning – Even if You’re a Complete Beginner With This Incredible 2-in1 Bundle<br /><br />Are you an aspiring entrepreneur? Are you an amateur software developer looking for a break in the world of machine learning? Do you want to learn more about the incredible world of Machine Learning, and what it can do for you? Then keep reading.<br /><br />Machine learning is the way of the future – and breaking into this highly lucrative and ever-evolving field is a great way for your career, or business, to prosper. Inside this guide, you’ll find simple, easy-to-follow explanations of the fundamental concepts behind machine learning, from the mathematical and statistical concepts to the programming behind them.<br /><br />With a wide range of comprehensive advice including machine learning models, neural networks, statistics, and much more, this guide is a highly effective tool for mastering this incredible technology.<br /><br />In book one, you'll learn:<br />- What is Artificial Intelligence Really, and Why is it So Powerful?<br />- Choosing the Right Kind of Machine Learning Model for You<br />- An Introduction to Statistics<br />- Reinforcement Learning and Ensemble Modeling<br />- “Random Forests” and Decision Trees<br /><br />In book two, you'll learn:<br />- Learn the Fundamental Concepts of Machine Learning Algorithms<br />- Understand The Four Fundamental Types of Machine Learning Algorithm<br />- Master the Concept of “Statistical Learning<br />- Learn Everything You Need to Know about Neural Networks and Data Pipelines<br />- Master the Concept of “General Setting of Learning”<br />- A Free Bonus<br /><br />Covering everything you need to know about machine learning, now you can master the mathematics and statistics behind this field and develop your very own neural networks! Whether you want to use machine learning to help your business, or you’re a programmer looking to expand your skills, this bundle is a must-read for anyone interested in the world of machine learning.<br /><br />So don’t wait – it’s never been easier to learn.<br /><br />Buy now to become a master of Machine Learning Today!",221.0,23,1,,"May 16, 2020",4.3,Machine Learning: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications
Oliver Theobald,Paperback,38886623," To buy the newest edition of this book (2021), please search ""Machine Learning Absolute Beginners Third Edition"" on Amazon. The product page you are currently viewing is for the 2nd Edition (2017) of the book.<br /><br />Featured by Tableau as the first of ""7 Books About Machine Learning for Beginners""<br /><br />Ready to crank up a virtual server and smash through petabytes of data? Want to add 'Machine Learning' to your LinkedIn profile?<br /><br />Well, hold on there...<br /><br />Before you embark on your epic journey, there are some theory and statistical principles to weave through first.<br />But rather than spend $30-$50 USD on a dense long textbook, you may want to read this book first. As a clear and concise alternative to a textbook, this book provides a practical and high-level introduction to machine learning.<br /><br />Machine Learning for Absolute Beginners Second Edition has been written and designed for absolute beginners . This means plain-English explanations and no coding experience required. Where core algorithms are introduced, clear explanations and visual examples are added to make it easy and engaging to follow along at home.<br /><br />This major new edition features many topics not covered in the First Edition, including Cross Validation, Data Scrubbing and Ensemble Modeling. Please note that this book is not a sequel to the First Edition, but rather a restructured and revamped version of the First Edition. Readers of the First Edition should not feel compelled to purchase this Second Edition.<br /><br /> If you have passed the 'beginner' stage in your study of machine learning and are ready to tackle coding and deep learning, you would be well served with a long-format textbook. If, however, you are yet to reach that Lion King moment —as a fully grown Simba looking over the Pride Lands of Africa—then this is the book to gently hoist you up and offer you a clear lay of the land. • How to download free datasets<br />• What tools and machine learning libraries you need<br />• Data scrubbing techniques, including one-hot encoding , binning and dealing with missing data<br />• Preparing data for analysis, including k -fold Validation<br />• Regression analysis to create trend lines<br />• Clustering , including k -Means Clustering to find new relationships<br />• The basics of Neural Networks<br />• Bias/Variance to improve your machine learning model<br />• Decision Trees to decode classification<br />• How to build your first Machine Learning Model to predict house values using Python Do I need programming experience to complete this book?<br /> This book is designed for absolute beginners, so no programming experience is required. However, two of the later chapters introduce Python to demonstrate an actual machine learning model, so you will see programming language used in this book.<br /><br /> I have already purchased the First Edition of this book, should I purchase this Second Edition?<br /> As the majority of the topics from the First Edition are covered in the Second Edition, you may be better served reading a more advanced title on machine learning.<br /><br /> Can I get access to the Kindle version of this book?<br /> Yes. Under Amazon’s Matchbook program, the purchaser of this book can add the Kindle version of this title (valued at $3.99 USD) to their Amazon Kindle library at no cost.<br /><br /> Does this book include everything I need to become a machine learning expert?<br /> This book is designed for readers taking their first steps in machine learning and further learning will be required beyond this book to master machine learning.",166.0,726,69,Independently published,"January 1, 2018",3.94,Machine Learning For Absolute Beginners: A Plain English Introduction
D.J. Patil,Kindle Edition,12700492,"As data science evolves to become a business necessity, the importance of assembling a strong and innovative data teams grows. In this in-depth report, data scientist DJ Patil explains the skills, perspectives, tools and processes that position data science teams for success.Topics What it means to be ""data driven."" The unique roles of data scientists. The four essential qualities of data scientists. Patil's first-hand experience building the LinkedIn data science team.",34.0,330,20,,"January 1, 1970",3.62,Building Data Science Teams
